"","StudyID","Source","EffectSizesFromPublication","EffectSizesIncludedinAnalysis","Extraction.Complete","GroupID","ExperimentID","EffectID","Author","Year","Journal","SpeciesCom","SpeciesSci","Class","WildLabRear","WildLabExp","Sex","ManipLifeStage","ManipType","ManipDirection","ManipDuration","ManipOffset","ManipPostDiet","ManipConditionEffect","ManipGroups","ExpLifeStage","ExpType","ExpVar","RiskContext","ExpVarUnit","nLC","meanLC","sdLC","seLC","CILC","nHC","meanHC","sdHC","seHC","CIHC","TestStatType","TestStatValue","df","P","SharedGroup","SharedN","Sharedmean","Sharedsd","RiskEffectDirection","Marginalised","DataLocation","DataPresentation","Exclude","ExclusionReason","MaxLongevity","MaxLongevitySource","RelativeTimeFromTreatment","lnMaxLongevity","RelativeManipDuration"
"335","CD216","SearchQuery","partial","yes","yes","EG059A","EX065A","ES0353","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","quantity","restrict",6,0,"continuous","yes (body mass, dessication, reproduction)","control_HC2","adult","novel environment","activity","novelenvironment_activity","cm","22","198.88447","63.00204","",NA,"22","184.2985","43.40279","",NA,"","",NA,"","S0271",22,184.2985,43.40279,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.0226986128654097
"336","CD216","SearchQuery","partial","yes","yes","EG060A","EX066A","ES0354","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","starvation","restrict",1,0,"continuous","yes (body mass, dessication, reproduction)","control_HC4","adult","novel environment","latency to discover a food patch","novelenvironment_feeding","proportion (treatment level)","21","0.476190476","0.108985169","",NA,"20","0.2","0.089442719","",NA,"","",NA,"","S0272",20,0.2,0.089442719,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","exclude_lncvr","group level proportional data",264.3333333,"non-systematic",0,5.57721093284063,0.00378310214423494
"337","CD216","SearchQuery","partial","yes","yes","EG060A","EX066A","ES0355","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","starvation","restrict",2,0,"continuous","yes (body mass, dessication, reproduction)","control_HC4","adult","novel environment","latency to discover a food patch","novelenvironment_feeding","proportion (treatment level)","23","0.173913043","0.079034196","",NA,"20","0.2","0.089442719","",NA,"","",NA,"","S0272",20,0.2,0.089442719,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","exclude_lncvr","group level proportional data",264.3333333,"non-systematic",0,5.57721093284063,0.00756620428846989
"338","CD216","SearchQuery","partial","yes","yes","EG060A","EX066A","ES0356","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","starvation","restrict",3,0,"continuous","yes (body mass, dessication, reproduction)","control_HC4","adult","novel environment","latency to discover a food patch","novelenvironment_feeding","proportion (treatment level)","25","0.08","0.05425864","",NA,"20","0.2","0.089442719","",NA,"","",NA,"","S0272",20,0.2,0.089442719,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","exclude_lncvr","group level proportional data",264.3333333,"non-systematic",0,5.57721093284063,0.0113493064327048
"339","CD216","SearchQuery","partial","yes","yes","EG060A","EX066A","ES0357","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","starvation","restrict",4,0,"continuous","yes (body mass, dessication, reproduction)","control_HC4","adult","novel environment","latency to discover a food patch","novelenvironment_feeding","proportion (treatment level)","24","0.041666667","0.040789375","",NA,"20","0.2","0.089442719","",NA,"","",NA,"","S0272",20,0.2,0.089442719,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","exclude_lncvr","group level proportional data",264.3333333,"non-systematic",0,5.57721093284063,0.0151324085769398
"340","CD216","SearchQuery","partial","yes","yes","EG061A","EX067A","ES0358","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","starvation","restrict",3,0,"continuous","yes (body mass, dessication, reproduction)","control_HC2","adult","novel environment","latency to discover a food patch","novelenvironment_feeding","proportion (treatment level)","22","0.227272727","0.089346067","",NA,"22","0.545454545","0.106158947","",NA,"","",NA,"","S0273",22,0.545454545,0.106158947,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","exclude_lncvr","group level proportional data",264.3333333,"non-systematic",0,5.57721093284063,0.0113493064327048
"341","CD216","SearchQuery","partial","yes","yes","EG061A","EX067A","ES0359","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","quantity","restrict",6,0,"continuous","yes (body mass, dessication, reproduction)","control_HC2","adult","novel environment","latency to discover a food patch","novelenvironment_feeding","proportion (treatment level)","22","0.272727273","0.094951449","",NA,"22","0.545454545","0.106158947","",NA,"","",NA,"","S0273",22,0.545454545,0.106158947,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","exclude_lncvr","group level proportional data",264.3333333,"non-systematic",0,5.57721093284063,0.0226986128654097
"342","CD216","SearchQuery","partial","yes","yes","EG062A","EX068A","ES0360","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","starvation","restrict",1,0,"continuous","yes (body mass, dessication, reproduction)","control_HC4","adult","novel environment","latency to emerge","novelenvironment_refugeemergence","sec","25","13.4","13.06713","",NA,"25","16.36","11.64717","",NA,"","",NA,"","S0274",25,16.36,11.64717,"negative","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.00378310214423494
"343","CD216","SearchQuery","partial","yes","yes","EG062A","EX068A","ES0361","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","starvation","restrict",2,0,"continuous","yes (body mass, dessication, reproduction)","control_HC4","adult","novel environment","latency to emerge","novelenvironment_refugeemergence","sec","25","143.96","236.21256","",NA,"25","16.36","11.64717","",NA,"","",NA,"","S0274",25,16.36,11.64717,"negative","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.00756620428846989
"344","CD216","SearchQuery","partial","yes","yes","EG062A","EX068A","ES0362","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","starvation","restrict",3,0,"continuous","yes (body mass, dessication, reproduction)","control_HC4","adult","novel environment","latency to emerge","novelenvironment_refugeemergence","sec","23","19.34783","15.38774","",NA,"25","16.36","11.64717","",NA,"","",NA,"","S0274",25,16.36,11.64717,"negative","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.0113493064327048
"345","CD216","SearchQuery","partial","yes","yes","EG062A","EX068A","ES0363","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","starvation","restrict",4,0,"continuous","yes (body mass, dessication, reproduction)","control_HC4","adult","novel environment","latency to emerge","novelenvironment_refugeemergence","sec","25","243.12","277.04938","",NA,"25","16.36","11.64717","",NA,"","",NA,"","S0274",25,16.36,11.64717,"negative","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.0151324085769398
"346","CD216","SearchQuery","partial","yes","yes","EG063A","EX069A","ES0364","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","starvation","restrict",3,0,"continuous","yes (body mass, dessication, reproduction)","control_HC2","adult","novel environment","latency to emerge","novelenvironment_refugeemergence","sec","25","128.8","221.33873","",NA,"25","90.16","194.42987","",NA,"","",NA,"","S0275",25,90.16,194.42987,"negative","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.0113493064327048
"347","CD216","SearchQuery","partial","yes","yes","EG063A","EX069A","ES0365","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","female","adult","quantity","restrict",6,0,"continuous","yes (body mass, dessication, reproduction)","control_HC2","adult","novel environment","latency to emerge","novelenvironment_refugeemergence","sec","26","20.15385","50.14195","",NA,"25","90.16","194.42987","",NA,"","",NA,"","S0275",25,90.16,194.42987,"negative","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.0226986128654097
"348","CD216","SearchQuery","partial","yes","yes","EG058B","EX064B","ES0366","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","male","adult","starvation","restrict",1,0,"continuous","yes (body mass, dessication, reproduction)","control_HC4","adult","novel environment","activity","novelenvironment_activity","cm","13","245.65448","37.12483","",NA,"14","150.24061","24.75623","",NA,"","",NA,"","S0276",14,150.24061,24.75623,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.00378310214423494
"349","CD216","SearchQuery","partial","yes","yes","EG058B","EX064B","ES0367","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","male","adult","starvation","restrict",2,0,"continuous","yes (body mass, dessication, reproduction)","control_HC4","adult","novel environment","activity","novelenvironment_activity","cm","15","145.55031","23.3192","",NA,"14","150.24061","24.75623","",NA,"","",NA,"","S0276",14,150.24061,24.75623,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.00756620428846989
"350","CD216","SearchQuery","partial","yes","yes","EG058B","EX064B","ES0368","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","male","adult","starvation","restrict",3,0,"continuous","yes (body mass, dessication, reproduction)","control_HC4","adult","novel environment","activity","novelenvironment_activity","cm","15","185.65819","22.94562","",NA,"14","150.24061","24.75623","",NA,"","",NA,"","S0276",14,150.24061,24.75623,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.0113493064327048
"351","CD216","SearchQuery","partial","yes","yes","EG058B","EX064B","ES0369","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","male","adult","starvation","restrict",4,0,"continuous","yes (body mass, dessication, reproduction)","control_HC4","adult","novel environment","activity","novelenvironment_activity","cm","15","132.0192","25.77275","",NA,"14","150.24061","24.75623","",NA,"","",NA,"","S0276",14,150.24061,24.75623,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.0151324085769398
"352","CD216","SearchQuery","partial","yes","yes","EG059B","EX065B","ES0370","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","male","adult","starvation","restrict",3,0,"continuous","yes (body mass, dessication, reproduction)","control_HC2","adult","novel environment","activity","novelenvironment_activity","cm","21","146.27192","42.38653","",NA,"24","174.11763","53.97594","",NA,"","",NA,"","S0277",24,174.11763,53.97594,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.0113493064327048
"353","CD216","SearchQuery","partial","yes","yes","EG059B","EX065B","ES0371","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","male","adult","quantity","restrict",6,0,"continuous","yes (body mass, dessication, reproduction)","control_HC2","adult","novel environment","activity","novelenvironment_activity","cm","16","136.56797","51.95442","",NA,"24","174.11763","53.97594","",NA,"","",NA,"","S0277",24,174.11763,53.97594,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","","",264.3333333,"non-systematic",0,5.57721093284063,0.0226986128654097
"354","CD216","SearchQuery","partial","yes","yes","EG060B","EX066B","ES0372","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","male","adult","starvation","restrict",1,0,"continuous","yes (body mass, dessication, reproduction)","control_HC4","adult","novel environment","latency to discover a food patch","novelenvironment_feeding","proportion (treatment level)","23","0.260869565","0.091560537","",NA,"20","0.5","0.111803399","",NA,"","",NA,"","S0278",20,0.5,0.111803399,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","exclude_lncvr","group level proportional data",264.3333333,"non-systematic",0,5.57721093284063,0.00378310214423494
"355","CD216","SearchQuery","partial","yes","yes","EG060B","EX066B","ES0373","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","male","adult","starvation","restrict",2,0,"continuous","yes (body mass, dessication, reproduction)","control_HC4","adult","novel environment","latency to discover a food patch","novelenvironment_feeding","proportion (treatment level)","25","0.36","0.096","",NA,"20","0.5","0.111803399","",NA,"","",NA,"","S0278",20,0.5,0.111803399,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","exclude_lncvr","group level proportional data",264.3333333,"non-systematic",0,5.57721093284063,0.00756620428846989
"356","CD216","SearchQuery","partial","yes","yes","EG060B","EX066B","ES0374","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","male","adult","starvation","restrict",3,0,"continuous","yes (body mass, dessication, reproduction)","control_HC4","adult","novel environment","latency to discover a food patch","novelenvironment_feeding","proportion (treatment level)","22","0.136363636","0.073165005","",NA,"20","0.5","0.111803399","",NA,"","",NA,"","S0278",20,0.5,0.111803399,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","exclude_lncvr","group level proportional data",264.3333333,"non-systematic",0,5.57721093284063,0.0113493064327048
"357","CD216","SearchQuery","partial","yes","yes","EG060B","EX066B","ES0375","Scharf","2018","Journal of Zoology","red flour beetle","Tribolium castaneum","insect","lab","lab","male","adult","starvation","restrict",4,0,"continuous","yes (body mass, dessication, reproduction)","control_HC4","adult","novel environment","latency to discover a food patch","novelenvironment_feeding","proportion (treatment level)","24","0","0","",NA,"20","0.5","0.111803399","",NA,"","",NA,"","S0278",20,0.5,0.111803399,"positive","no","CD010_CD216_Data_Flour_Beetle_Stress.xlsx","author correspondence","exclude_lnrr","data cannot be used to calculate a sampling variance",264.3333333,"non-systematic",0,5.57721093284063,0.0151324085769398
